lband,uband,a0,a1,a2,a3,a4
18,30,0,0,0,0,0
18,30,-3.41318e+07,0,0,313454.0,203595.0
31,50,-1.09355e+07,-7.94382e-07,9.08989e-5,0,0
31,50,-6.09718e+07,0,0,550330.,357449
51,100,-2.63824e+08,-1.91867e-05,0.00219300,0,0
51,100,-2.01169e+08,0,0,3.59384e6,2.32841e6
101,150,-1.04138e+08,-8.22424e-06,0.000891052,0,0
101,150,-2.10080e+05,0,0,634184.,409793.
151,200,-1.74864e+08,-1.80512e-05,0.00206329.,0,0
151,200,-8.50452e+08,0,0,2.15983e7,1.39840e7
201,250,-2.03915e+08,-2.09982e-5,0.00240001.,0,0
201,250,-1.89626e+09,0,0,2.02855e7,1.31572e7
256,256,1.38842e+07,-1.46978e-5,0.00168003,0,0
284,284,-1.59676e+09,0,0,1.60441e7,9.43640e6
251,300,-7.71343e+07,-1.50827e-5,0.00172379.,0,0
251,300,-3.82102e+09,0,0,3.48145e7,2.27244e7
303,303,-1.05822e+09,0,0,1.00705e7,7.17696e6
304,304,2.13752e+08,-0.000226291,0.0258646,0,0
301,350,-4.65860e+09,0,0,4.45973e7,2.91061e7
368,368,2.87050e8,0,0,2.79581e6,1.72142e6
351,400,-5.81541e6,-1.12337e-6,0.000128456,0,0
351,400,-1.12033e9,0,0,1.72024e7,1.10261e7
401,450,-5.89502e7,-1.22128e-5,0.00132439,0,0
401,450,-1.06976e8,0,0,2.80860e6,1.75990e6
465,465,5.89122e+07,0,0,844715.,520445.
451,500,-1.97061e+08,-1.56238e-05,0.00169281,0,0
451,500,-6.34740e+08,0,0,7.16843e6,4.6395e6
501,550,-4.19715e8,-4.59571e-5,0.00497787,0,0
501,550,-3.71313e8,0,0,3.55929e6,2.21819e6
554,554,-7.97548e7,-2.02374e-5,0.00219424,0,0
584,584,-2.40495e9,-0.000153653,0.0175749,0,0
551,600,-1.46516e9,-0.000121477,0.0131716,0,0
610,610,-2.41248e8,0,0,5.22489e6,2.80106e6
630,630,-3.35132e8,-6.93450e-5,0.00793129,0,0
601,650,-2.40639e8,-5.17362e-5,0.00560399,0,0
601,650,-1.76203e8,0,0,3.64330e6,2.32576e6
651,700,-1.27308e8,-1.53857e-5,0.00166689,0,0
651,700,4.86650e7,0,0,3.31301,1.89074
703,703,-2.33824e7,-1.34269e-5,0.00145498,0,0
701,750,-6.59055e7,-1.03401e-5,0.00112006,0,0
765,765,-9.70166e7,-1.18976e-5,0.00128858,0,0
770,770,-3.39939e7,0,0,1.75960e+06,1.12721e+06
788,790,-1.44843e8,-3.41136e-5,0.00390135,0,0
751,800,-4.03383e+08,-4.75317e-05,0.00514966,0,0
751,800,-4.63681e+07,0,0,2.18818e+06,0 1.39238e+06
801,850,-1.91195e+09,-0.000152746,0.0165448,0,0
851,900,-6.50213e+09,-0.000412490,0.0471572,0,0
901,950,-5.46384e+09,-0.000364589,0.0416744,0,0
977,977,-2.78948e+09,-0.000314466,0.0340743,0,0
951,1000,-1.16140e+09,-0.000121150,0.0131232,0,0
1026,1026,-4.35772e+09,-0.000276365,0.0316046,0,0
1032,1032,-5.70913e+09,-0.000374537,0.0405736,0,0
1001,1050,-4.29115e+09,-0.000302415,0.0327572,0,0