lband,uband,k,a0,a1,a2,a3,a4
19,30,1,0,0,0,0,0
19,30,2,-3.63742e+07,0,0,313454.,203595.
30,49,1,-1.09355e+07,-7.94382e-07,9.08989e-05,0,0
30,49,2,-6.09718e+07,0,0,550330.,357449.
51,100,1,-2.63824e+08,-1.91867e-05,0.00219300,0,0
51,100,2,-2.01169e+08,0,0,3.59384e+06,2.32841e+06
101,148,1,-1.04138e+08,-8.22424e-06,0.000891052,0,0
101,148,2,-210080.,0,0,634184.,409793.
150,199,1,-1.74864e+08,-1.80512e-05,0.00206329,0,0
150,199,2,-8.50452e+08,0,0,2.15983e+07,1.39840e+07
200,249,1,-2.03915e+08,-2.09982e-05,0.00240001,0,0
200,249,2,-1.89626e+09,0,0,2.02855e+07,1.31572e+07
256,256,1,-3.03544e+07,-1.74375e-05,0.00188883,0,0
256,256,2,0,0,0,0,0
284,284,1,0,0,0,0,0
284,284,2,-1.87425e+09,0,0,1.60441e+07,9.43640e+06
251,300,1,-7.71343e+07,-1.50827e-05,0.00172379,0,0
251,300,2,-3.82102e+09,0,0,3.48145e+07,2.27244e+07
303,303,1,0,0,0,0,0
303,303,2,-1.05822e+09,0,0,1.00705e+07,7.17696e+06
304,304,1,2.13752e+08,-0.000226291,0.0258646,0,0
304,304,2,0,0,0,0,0
303,350,1,0,0,0,0,0
303,350,2,-4.65860e+09,0,0,4.45973e+07,2.91061e+07
368,368,1,0,0,0,0,0
368,368,2,2.87050e+08,0,0,2.79581e+06,1.72142e+06
356,400,1,-5.81546e+06,-1.12352e-06,0.000128457,0,0
356,400,2,-1.24569e+09,0,0,1.90743e+07,1.20416e+07
401,437,1,-5.89509e+07,-1.22148e-05,0.00132441,0,0
401,437,2,-1.26274e+08,0,0,3.23658e+06,1.98280e+06
465,465,1,0,0,0,0,0
465,465,2,5.89122e+07,0,0,844715.,520445.
453,499,1,-1.97061e+08,-1.56248e-05,0.00169281,0,0
453,499,2,-9.71259e+08,0,0,1.08776e+07,7.12062e+06
500,550,1,-4.19500e+08,-4.59222e-05,0.00497529,0,0
500,550,2,-4.74330e+08,0,0,4.08502e+06,2.44630e+06
554,554,1,-7.97562e+07,-2.02404e-05,0.00219429,0,0
554,554,2,0,0,0,0,0
584,584,1,-2.40503e+09,-0.000153646,0.0175754,0,0
584,584,2,0,0,0,0,0
554,600,1,-1.46520e+09,-0.000121468,0.0131720,0,0
554,600,2,0,0,0,0,0
610,610,1,0,0,0,0,0
610,610,2,-2.41248e+08,0,0,5.22489e+06,2.80106e+06
630,630,1,-3.35139e+08,-6.93489e-05,0.00793148,0,0
630,630,2,0,0,0,0,0
610,644,1,-2.40644e+08,-5.17453e-05,0.00560413,0,0
610,644,2,-1.76203e+08,0,0,3.64330e+06,2.32576e+06
650,700,1,-1.27309e+08,-1.53872e-05,0.00166690,0,0
650,700,2,4.86650e+07,0,0,331301.,189074.
703,703,1,-2.33828e+07,-1.34285e-05,0.00145501,0,0
703,703,2,0,0,0,0,0
701,750,1,-6.59024e+07,-1.03395e-05,0.00112001,0,0
701,750,2,0,0,0,0,0
765,765,1,-9.70182e+07,-1.18974e-05,0.00128860,0,0
765,765,2,0,0,0,0,0
770,770,1,0,0,0,0,0
770,770,2,-3.39939e+07,0,0,1.75960e+06,1.12721e+06
788,790,1,-1.44845e+08,-3.41107e-05,0.00390139,0,0
788,790,2,0,0,0,0,0
750,800,1,-4.03358e+08,-4.75313e-05,0.00514938,0,0
750,800,2,-6.05958e+07,0,0,2.87651e+06,1.84637e+06
801,850,1,-1.91143e+09,-0.000152671,0.0165404,0,0
801,850,2,0,0,0,0,0
851,900,1,-6.50213e+09,-0.000412484,0.0471572,0,0
851,900,2,0,0,0,0,0
901,950,1,-5.46244e+09,-0.000364619,0.0416639,0,0
901,950,2,0,0,0,0,0
977,977,1,-3.42946e+09,-0.000386760,0.0418920,0,0
977,977,2,0,0,0,0,0
951,1000,1,-1.16091e+09,-0.000121071,0.0131176,0,0
951,1000,2,0,0,0,0,0
1026,1026,1,-8.49329e+09,-0.000538460,0.0615978,0,0
1026,1026,2,0,0,0,0,0
1032,1032,1,-5.70932e+09,-0.000374521,0.0405749,0,0
1032,1032,2,0,0,0,0,0
1001,1050,1,-4.28991e+09,-0.000302346,0.0327477,0,0
1001,1050,2,0,0,0,0,0